compiler	probe	run	wall_seconds	max_rss_kib
dmd	baseline	1	0.02	22592
dmd	15	1	0.04	28472
dmd	60	1	0.05	32296
dmd	240	1	0.11	47264
ldc2	baseline	1	0.05	87904
ldc2	15	1	0.08	99720
ldc2	60	1	0.10	103396
ldc2	240	1	0.17	119376
dmd	baseline	2	0.03	22596
dmd	15	2	0.05	28532
dmd	60	2	0.06	32216
dmd	240	2	0.12	47316
ldc2	baseline	2	0.05	87900
ldc2	15	2	0.08	99752
ldc2	60	2	0.10	103696
ldc2	240	2	0.16	119344
dmd	baseline	3	0.02	22536
dmd	15	3	0.04	28488
dmd	60	3	0.05	32220
dmd	240	3	0.11	47348
ldc2	baseline	3	0.05	88116
ldc2	15	3	0.08	99848
ldc2	60	3	0.09	103784
ldc2	240	3	0.16	119284
dmd	baseline	4	0.02	22484
dmd	15	4	0.04	28484
dmd	60	4	0.05	32128
dmd	240	4	0.11	47300
ldc2	baseline	4	0.05	87792
ldc2	15	4	0.07	99776
ldc2	60	4	0.09	103688
ldc2	240	4	0.15	119380
dmd	baseline	5	0.02	22512
dmd	15	5	0.04	28432
dmd	60	5	0.05	32172
dmd	240	5	0.11	47300
ldc2	baseline	5	0.05	87972
ldc2	15	5	0.08	99924
ldc2	60	5	0.09	103624
ldc2	240	5	0.15	119364
